Agenzia Regionale per la Protezione Ambientale del Lazio,195,9259,59379,high,9/17/2009,9,17,200
CAMERA DI COMMERCIO DI TORINO,196,8476,59063,high,9/1/2008,9,1,200
CASA S.P.A.,197,1336,58944,high,11/19/2009,11,19,200
BRIANZACQUE S.R.L.,198,1095,58415,high,3/19/2008,3,19,200
ATO ME 2 S.P.A.,11,9689,58344,low,11/2/2009,11,2,200
FARMACIE COMUNALI TORINO S.P.A.,200,5548,58023,high,4/20/2009,4,20,200
AZIENDA GESTIONE EDIFICI COMUNALI DI VERONA (AGEC),201,8705,57799,high,11/20/2009,11,20,200
FONDAZIONE ARENA DI VERONA,202,8749,57606,high,8/22/2009,8,22,200
ROMAGNA ACQUE - SOCIETA' DELLE FONTI S.P.A.,203,7404,57601,high,5/1/2008,5,1,200
C.C.I.I.A. di Firenze,204,9158,57351,high,11/12/2009,11,12,200
CTM S.P.A.,205,5200,57310,high,1/4/2010,1,4,201
Agenzia LAORE Sardegna,206,9767,57277,high,10/20/2009,10,20,200
AGENZIA PER LA PROTONTERAPIA,207,9844,56880,high,10/21/2009,10,21,200
ACOS SPA,208,118,56847,high,9/1/2008,9,1,200
C.M.V. SERVIZI S.R.L.,209,1149,56814,high,10/8/2008,10,8,200
ELETTRA - SINCROTRONE TRIESTE SOCIETA' CONSORTILE PER AZIONI,11,5321,56359,low,11/2/2009,11,2,200
COGESER S.P.A.,211,1608,55549,high,8/28/2009,8,28,200
LAZIO SERVICE S.P.A.,212,6317,54874,high,9/1/2008,9,1,200
Agenzia provinciale per la depurazione (ADEP),213,9850,54815,high,11/1/2008,11,1,200
CEM AMBIENTE S.P.A. ED IN FORMA ABBREVIATA CEM S.P.A.,214,1430,53922,high,10/1/2008,10,1,200
Alto Calore Servizi S.p.A. Avellino,215,9446,53624,high,11/20/2009,11,20,200
INFORMATICA TRENTINA S.P.A.,216,6121,53527,high,10/1/2008,10,1,200
GE.S.I.P. PALERMO S.P.A.,217,5877,53126,high,5/1/2008,5,1,200
EUR S.P.A.,11,5411,53065,low,11/2/2009,11,2,200
SOCIETA' ITALIANA PER AZIONI PER IL TRAFORO DEL MONTE BIANCO,219,7824,53015,high,11/4/2009,11,4,200
ASTEA S.P.A.,220,650,52791,high,7/15/2009,7,15,200
Agenzia Regionale per il Diritto allo Studio Universitario,11,9507,52750,low,11/2/2009,11,2,200
FIERA DI VICENZA S.P.A.,222,5647,52456,high,11/1/2008,11,1,200
AMGA - AZIENDA MULTISERVIZI S.P.A.,223,328,52104,high,5/1/2008,5,1,200
CENTRALE DEL LATTE DI BRESCIA S.P.A.,224,1435,51811,high,9/25/2009,9,25,200
MOBILITA' DI MARCA S.P.A.,225,6517,51800,high,10/1/2008,10,1,200
TEP S.P.A.,226,8037,51735,high,12/1/2008,12,1,200
GARDA UNO S.P.A.,227,5860,51703,high,11/18/2009,11,18,200
Consorzio GAIA,228,9253,51586,high,5/1/2008,5,1,200
ARGEA Sardegna,229,9769,51469,high,7/1/2008,7,1,200
SOCIETA' DEL PATRIMONIO PER LA MOBILITA' VENEZIANA S.P.A.,11,7764,51297,low,11/2/2009,11,2,200
SOCIETA' RISORSE IDRICHE CALABRESI S.P.A. IN BREVE SORICAL SPA,11,7880,51022,low,11/2/2009,11,2,200
Azienda Farmasociosanitaria Capitolina,232,9288,50972,high,1/1/2009,1,1,200
Autorita' Portuale di Brindisi,11,9547,50931,low,11/2/2009,11,2,200
AZIENDA METROPOLITANA TRASPORTI CATANIA S.P.A.,234,772,50875,high,7/1/2008,7,1,200
STRUTTURE TRASPORTO ALTO ADIGE - S.P.A. % SUEDTIROLER TRANSPORTSTRUKTUREN - A.G.,235,7958,50251,high,11/1/2008,11,1,200
RIVIERA TRASPORTI SOCIETA' PER AZIONI,11,7397,50158,low,11/2/2009,11,2,200
AZIENDA TRASPORTI PER L AREA METROPOLITANA SPA IN FORMA ABBREVIATA ATAM SPA,11,909,50074,low,11/2/2009,11,2,200
INFRATRASPORTI.TO S.R.L.,238,6129,49948,high,10/1/2008,10,1,200
CENTRO VENETO SERVIZI S.P.A. CON SIGLA ( C.V.S. S.P.A.),11,1517,49758,low,11/2/2009,11,2,200
A.S.M. PAVIA S.P.A.,240,66,49674,high,7/29/2009,7,29,200
ASM TERNI S.P.A.,241,504,49658,high,11/20/2009,11,20,200
IRPINIAMBIENTE S.P.A.,242,6180,48548,high,11/10/2008,11,10,200
CENTRO INTERCOMUNALE DI IGIENE URBANA - S.P.A. SIGLABILE CIDIU S.P.A.,11,1466,48501,low,11/2/2009,11,2,200
PORTO INTERMODALE RAVENNA S.P.A. S.A.P.I.R.,244,7195,48450,high,11/1/2008,11,1,200
SOCIETA' AUTOSTRADE VALDOSTANE S.A.V. - S.P.A.,245,7740,48292,high,11/1/2008,11,1,200
CO.S.EC.A. SpA - Consorzio Servizi Ecologici Ambientali -,246,9141,48269,high,7/1/2009,7,1,200
AZIENDA STRADE LAZIO - ASTRAL S.P.A,11,894,48066,low,11/2/2009,11,2,200
NAPOLI SOCIALE S.P.A.,248,6948,47748,high,1/4/2010,1,4,201
NAPOLI SERVIZI SPA,249,6947,47642,high,1/13/2010,1,13,201
TRENTINO SVILUPPO S.P.A.,250,8133,47400,high,2/1/2008,2,1,200
